Condition,Frequencies (Hz)
Feline Cat Leukemia,"424, 830, 901, 918"
"Felis,Cats","430, 834, 2232, 3233"
Fell,435
Felon,"657, 659, 663, 665, 720, 722, 738, 751"
Female Disorder,"727, 787, 880"
Fever,"20, 422, 660, 690, 727, 787, 800, 832, 880, 2112, 5000"
Fever All Kinds,"20, 727, 787, 880, 5000"
Fever Sunstroke,"20, 440, 880"
Fever,"20, 422, 727, 787, 800, 832, 880, 1552, 2112"
Fever,"120, 230, 830, 5500"
Fibroadenoma Breast,1384
"Fibroadenoma Mammae,Breast","1384, 2128, 2189"
Fibrocystic Breast Disease,"40, 250, 970, 9000"
Fibrodysplasia OP,"230, 1180, 2260"
Fibroid Cysts Breast,"267, 660, 690, 776, 787, 802, 880, 1384, 1550"
Fibroma,"272, 273, 465, 660, 666, 690, 727, 802, 1550, 2008, 2127"
Fibromatosis Aggressive,"50, 230, 950"
Fibromatosis Juvenile Hyaline,"50, 230, 950"
Fibromuscular Dysplasia,"20, 520, 750, 2750, 5250"
"Fibromyalgia,Nerve","20, 120, 304, 328, 464, 664, 728, 800, 880, 2128, 2180, 2720, 5000"
Fibromyalgia,"490, 720, 780, 7500"
Fibromyalgia,328
Fibro Pendulum,"211, 233, 661, 766, 7465"
Fibrosarcoma,1744
Fibrosarcoma,744
"Fibrosis of Lung,Lung","220, 410"
Fibrosis,"80, 550, 570, 7500, 8000"
Fibrous Dysplasia of Bone,"130, 570, 780, 900, 2250"
Fibrous Dysplasia Polyostotic,"200, 460, 600, 2250"
Fifth Disease,"809, 1618, 3236"
Filariasis,"190, 180, 730, 7500"
Filariose,"112, 120"
Fischoederius Elongatus,3600
Fischrogen,832
"Fissures,Anus","20, 787, 10000"
Fissures,"20, 727, 787, 880, 10000"
Fistula Dentalis,"550, 660, 690, 727, 786, 844, 878, 1122"
Fistula Ulcer,"727, 787, 832, 880"
Fistula,"130, 250, 620, 5750"
Fistula,"660, 690, 787, 832, 880"
FIV,"262, 323, 372, 404, 567, 712, 742, 760, 773, 916, 1103, 1132, 3701"
"FIV,Cats","262, 323, 372, 404, 567, 712, 742, 760, 773, 916, 1103, 1132, 3201"
FIV,"262, 323, 372, 567, 916"
Flashes Hot,"727, 787, 880, 10000"
Flatulence,"20, 422, 465, 660, 676, 690, 760, 787, 802, 832, 880, 1550"
Flatulence,"465, 727, 787, 802, 832, 880, 1550"
Fleas,"2374, 2750"
Floaters,"130, 350, 850, 5430"
Floppy Mitral Valve,"40, 240"
Flu,"20, 304, 440, 464, 727, 728, 787, 800, 885, 1234, 1500, 1550, 2008, 3672, 5000, 7344, 7760"
Flu 1978,"844, 849"
Flu 1979,123
Flu 1983,"730, 734"
Flu Grippe Influenza,"727, 787, 800, 880"
Flu Spanish,462
Flu Triple Nosode,"421, 632, 1242, 1422, 1922, 3122"
Flu Virus A,332
Flu Virus B Hong Kong,555
Flu Virus B,"530, 532, 536, 537"
Flu Virus British,932
Flu Virus,"88, 728, 800, 2050, 2180, 2452, 7760, 8000, 8250"
Flu,"20, 727, 787, 880, 1550"
Fluid in Joints and Tissues,15
Fluke Intestinal,"15, 55, 524, 651, 676, 844, 848, 854, 2000, 2084, 2128, 2150, 6766"
Flukes,"143, 275, 435, 524, 651, 676, 763, 854, 945"
Fluke Worm,"524, 854"
Fluor Alb,"110, 342, 420, 423, 688, 757"
Fluor Alb,"420, 423, 424, 502, 2222"
"Follicular Mange,Hair","253, 693, 701, 774"
Follicular Mange,"253, 693"
"Folliculitis Hot Tub,Hair","174, 482, 5311"
Food Poisoning,"59, 92, 165, 420, 643, 664, 707, 711, 717, 719, 752, 972, 1244, 1522, 6787, 7771"
Food Poisoning,"546, 693, 754, 762, 773, 1634, 8656"
Food Poisoning,10000
Food Poisoning Distilled Water,"727, 787, 880, 10000"
Food Poisoning,"802, 832, 1552"
Food Poisoning,"120, 230, 830, 5500"
Foot and Mouth Disease,"232, 237, 1214, 1243, 1244, 1271, 5411"
Foot and Mouth Syndrome,"232, 237, 1214, 1243, 1244, 1271, 5411"
Foot Blisters,"465, 727, 787, 880, 10000"
Forgiveness,706
Fournier Gangrene,"80, 550, 570, 7500"
Fracture Healing,"25, 50"
"Fractures Bone,Bone",1028
Fractures Bone,"130, 570, 780, 930"
Fractures Bone,"220, 230, 727, 787, 880, 10000"
Fractures Healing,"220, 230, 727, 787, 880, 10000"
Fragile X Syndrome,"230, 620, 950, 5500, 7500"
Francisella Tularensis,"323, 324, 427, 694, 823, 913"
Freeman-Sheldon Syndrome,"190, 520, 680, 800, 2500, 5170"
Freiberg's Disease,"170, 520, 730, 950, 2250"
Friedreich Ataxia,"160, 490, 730, 950, 5260, 7250"
Frigidity Female,"20, 10000"
Frigidity,"20, 72, 73, 95"
Frigidity,"120, 580"
Frostbite,"420, 727, 787, 880"
Frostbite,"660, 690, 787, 880"
Frostbite,"727, 787, 880"
Frozen Shoulder,"727, 766, 787, 802, 880, 10000"
Fruit Fly,2167
Fucosidosis,"50, 240, 680, 950, 2500, 7500"
Fungal and Yeast Infection,465
Fungal Infection,"20, 465, 727, 802, 880, 1550"
Fungal Infections,465
Fungus Adams,"943, 2644"
Fungus Black Nail,"190, 465, 612, 644, 766, 1000"
Fungus EW Range,"823, 824, 825, 826, 827, 828, 829"
Fungus Flora,"331, 336, 555, 587, 632, 688, 757, 882, 884, 887"
Fungus Flora,632
Fungus Foot and General,1550
Fungus General,"20, 72, 254, 422, 465, 582, 727, 784, 787, 802, 880, 1016, 1134, 1153, 1550, 1552, 2222"
Fungus Katy's Foot,634
Fungus Suttons Bar,854
Funnel Chest,"130, 230, 730, 800, 5250, 7250"
Furunculosis Herpes,"200, 802, 1000, 1550"
Furunculosis Herpes,"200, 727, 787, 802, 1000, 1550"
Furunculosis Herpes,"20, 116, 200, 465, 660, 690, 802, 1000, 1550, 2000"
Furunculosis Secondary,"727, 787"
"Furunculosis,Skin","20, 116, 465, 660, 727, 770, 787, 802, 880, 1550"
Furunculosis,"200, 460, 600, 2250"
Fusarium General,"600, 625, 650, 746, 768"
Fusarium General,"625, 746, 768"
"Fusarium Oxysporum,Eyes","102, 332, 705, 795, 780"
Fusobacterium Infections,"190, 180, 750, 9000"
Gaetner,"519, 577, 693, 767"
Gaffkya Tetragena,3600
Gait Disorders Neurologic,"130, 250, 620, 2750"
Galactosemics,"110, 240, 650, 830, 2500"
"Gallbladder Dystonia With Osteitis,Gallbladder","20, 727, 787, 880, 3000"
Gallbladder,"20, 727, 787, 880, 5000"
Gallbladder Diseases,"120, 550, 950, 5370"
Gallbladder Inflammation,432
"Gallbladder Inflammation,Gallbladder","432, 801, 1551"
"Gallbladder Pain,Gallbladder","800, 1550"
Gallbladder,10
Gallstone Attack,"481, 743, 865, 928"
Gallstones,"20, 444, 660, 690, 727, 787, 800, 880, 1552, 1865, 3000, 6000, 10000"
Gamma Brainwave Frequency,40
Ganglionitis,"574, 1557"
Gangrene General,"20, 73, 727, 787, 880"
Gangrene,"70, 500, 950, 7500"
Gangrene,"20, 73, 727, 787, 880"
Gardnerella,"320, 329, 485, 695, 782, 995, 1200"
Gardnerella Vaginalis,"320, 782"
Gardnerella Vaginalis,3600
Gardnerella,"320, 329, 485, 695, 782, 995"
Gardnerella,782
Gardnerella,"320, 329, 485, 695, 782, 995"
Gasoden,878
Gasser's Syndrome,"50, 180, 4820"
Gastric Gouty Ulcers,"727, 776, 787, 880"
Gastric Stomach and Colon,"20, 727, 787, 880, 5000"
Gastritis and Flatus,"20, 727, 787, 832"
"Gastritis and Flatus,Stomach","20, 422, 676, 727, 787, 802, 832, 880"
Gastritis Hypertrophic,"100, 500, 680"
Gastritis,"150, 230, 730, 850, 5260"
Gastroenteritis Calicivirus,"30, 360, 475, 575, 1500, 2750, 5250, 6250"
Gastroenteritis,"100, 500, 680, 950, 5750"
Gastroesophageal Reflux,"230, 620, 970, 5500, 7500"
Gastrointestinal Disease,"20, 520, 700, 900, 2500, 5250"
Gastrointestinal Hemorrhage,"50, 520, 710, 930, 2560"
Gastrointestinal Stromal Tumors,"70, 520, 700, 950, 2500, 3000"
Gastroparesis,"170, 520, 750, 950, 2250"
Gastroschisis,"160, 490, 730, 950, 5260"
Gastrothylax Elongatus,3600
Gaucher Disease,"50, 240, 700, 950, 2500, 7500"
General Antiseptic,"428, 444, 450, 465, 660, 727, 760, 787, 802, 880, 1550, 5000, 10000"
General Antiseptic and Circulation Stimulation,"20, 786, 832, 1050, 5000"
General Balancing,"33, 1130, 1131"
General Cleanser,"337, 464, 467, 576, 688, 728, 786, 803, 856, 882, 912, 1554, 1862, 2128, 3337, 5762, 6667"
General Malady,"5000, 10000"
General Program Emem,"20, 720, 1550, 4200"
Geniculate Herpes Zoster,"120, 450, 900, 5910"
Genital Diseases Female,"80, 350, 600, 870, 2250, 5000"
Genital Diseases Male,"80, 350, 600, 870, 2250, 5000"
Geotrichum Candidum,"412, 543"
Geotrichum Candidum,412
Geriatric Adynamia,"60, 100, 220, 410"
German Measles,"342, 344, 368, 431, 459, 510, 517, 520, 660, 690, 735, 772, 784, 796, 880, 943, 967, 1380, 1489"
German Measles,"727, 787, 880"
German Measles Rubella,"368, 431, 459, 510, 517, 734, 772, 796, 967"
German Measles Rubella Vaccine,"429, 459, 505, 832, 926"
"German Measles Rubella,Skin","368, 510, 517, 734, 772, 796, 967"
"German Measles Secondary,Skin","727, 787, 880"
German Measles,517
Gerstmann-Straussler-Scheinker Disease,"60, 260, 680, 7500"
Giant Cell Arteritis,"130, 230, 750, 800, 5250, 7250"
Giant Lymph Node Hyperplasia,"40, 500, 700, 970, 5750, 7500"
Giardia Intestinalis,"334, 407, 829, 900, 1000, 1200, 2018, 4334, 5429"
Giardia Lamblia Trophozoites,3600
Giardia Parasites,"334, 407, 721, 812, 829, 1442, 2018, 2163, 4334, 5429, 5768"
"Giardia,Intestines","334, 407, 812, 829, 2018, 4334, 5429"
Giardiasis,"50, 350, 600, 870, 2250, 5290"
Giddiness Dizziness,"20, 10000"
Giddiness,"20, 727, 787, 880, 5000"
Gilbert Disease,"70, 320, 620, 850, 5000"
"Gingivitis,Gums","20, 465, 465, 726, 728, 776, 787, 802, 880, 1550, 1556"
Gingivitis,"70, 120, 600, 870, 2250"
Glanders,"20, 407, 501, 660, 687, 690, 737, 743, 774, 787, 857, 875, 880, 986, 1273"
Glanders Pseudomonas Mallei,"20, 727, 787, 880"
Glanders,"501, 687, 743, 774, 857, 875, 1273"
Glands Enlarged,"20, 727, 787, 880, 10000"
Glands General Normalize,537
Glandular Fever,"20, 727, 787, 880, 5000"
Glandular Fever Adrenals,"20, 10000"
Glandular Fever Parathyroid,"20, 10000"
Glandular Fever Thyroid,"20, 10000"
"Glandular Fever,Viral","20, 10000"
Glaucoma,"660, 690, 787, 880, 1600, 1830"
Glaucoma,3022
"Glaucoma ,Eyes","727, 787, 880, 1600, 1830"
Glaucoma,"160, 550, 950, 5290, 7250"
Glioblastoma,"70, 410, 730, 850, 7500"
Gliocladium,"469, 633, 855"
Gliocladium,855
Glioma,"50, 490, 9730"
Glioma,"543, 641"
Glossitis Benign Migratory,"30, 120, 600, 930, 2250"
Glossopharyngeal Nerve Diseases,"70, 570, 950, 2250"
Glucosephosphate Dehydrogenase Deficiency,"100, 240, 650, 830, 2500"
Glutaric Acidemia,"120, 550, 950, 5290"
Glycogen Storage Disease,"30, 370, 950, 2500, 7500"
"Goiter ,Neck","105, 121, 122, 321, 361, 517, 531, 532, 576, 651, 714, 756, 5311"
Goiter,"20, 727, 787, 880, 5000"
Goiter,"20, 160, 660, 690, 787, 880"
Goiter Struma Cystica,"361, 531, 756, 5311"
Goiter Struma Nodosa,"105, 122, 321, 517, 532, 651, 714"
Goiter Struma Parenchyma,"121, 576"
Goldenhar Syndrome,"10, 40, 250, 570, 870, 2250, 2500"
Gonadal Disorders,"370, 950, 2500, 7500"
Gonads Inflammation,"727, 787, 880, 10000"
Gonads,9
Gonococcus,"600, 625, 650, 660, 690, 712"
Gonorrhea,"150, 233, 600, 625, 650, 660, 690, 712, 727, 787, 880, 1200, 1500, 2330, 5000, 6000, 7120"
Gonorrhea,"712, 1990"
Gonorrhea Neisseria,"89, 927"
"Gonorrhea,Viral","600, 660, 712"
Gonorrhea,"200, 250, 570"
Gordonia Sputi,"3049, 3483"
Gout,"20, 727, 787, 880, 3000, 5000, 10000"
Gout,"20, 465, 600, 660, 690, 727, 787, 880, 3000,10000"
"Gout,Joints","20, 727, 787, 880, 3000, 10000"
Gout,"70, 240"
Graft vs Host Disease,"70, 500, 970, 9000"
Gram-Negative Bacterial Infections,"150, 9230"
Granuloma Annulare,"500, 700, 970, 7500"
"Granuloma Dent,Teeth",441
Granuloma Inguinale,"30, 500, 700, 970"
Granuloma,"100, 500, 700, 970, 5750"
Granulomatosis Wegener's,"90, 330, 5490"
Gravel Deposits,"20, 727, 787, 880, 3000, 5000"
"Gravel In Urine ,Kidney","20, 727, 787, 880, 3000"
Gravel In Urine,"20, 727, 787, 880, 3000"
Graves Disease and Goiter,"20, 727, 787, 880"
Graves Disease,"80, 350"
Green Dye,"563, 2333"
Grippe 1986,532
Grippe 1987,"332, 953"
Grippe Va 2 L,447
Grippe Va,833
Grippe Virus,"550, 553"
Grippe Virus,"232, 352"
Grippe Virus,945
Grippe Virus,861
Grippe,"343, 500, 512, 541, 862, 1000, 1192, 3012, 3423"
Grippe,"343, 512, 862, 3012, 3423"
Grippe,"80, 250, 570, 7500"
Guillain-Barre Syndrome,"40, 320, 620, 5970"
Guilt and Fear Release,396
Gum Disease,"20, 465, 726, 728, 776, 787, 802, 880, 1550, 1556"
Gum Inflammation,"20, 465, 727, 787, 800, 802, 880, 5000"
Gynecomastia,"190, 230, 950, 2250"
Gyrate Atrophy,"50, 660, 1320, 7500"
Gyrodactylus,3600
H1N1- Swine Flu,"20, 450, 650, 2210, 6150"
H5N1- Bird Flu,"20, 450, 650, 2740, 8320"
Haemonchus Contortus,3600
Hemophilia Tonic,"751, 778, 845"
Hemophilia,845
Haemophilus Influenzae,542
Haemophilus Influenzae B,"652, 942"
Haemophilus Influenzae,542
Haemophilus Influenzae,"50, 370, 830, 2500, 3000"
Hair Diseases,"170, 180, 870, 2500"
Hair Human,646
Hair Losing,"20, 800, 10000"
Hair Loss,"3, 20, 28, 95, 146, 330, 465, 660, 690, 787, 800, 880, 1552, 2170, 2720, 4200, 5000, 10000"
Hair Loss,"727, 800, 880, 10000"
Hairy Cell,"122, 622, 932, 5122"
Halitosis,"20, 727, 787, 802, 880, 1550"
Halitosis,"20, 660, 690, 787, 802, 880, 1550"
Halitosis,"30, 120, 950, 2500"
Halitosis,1550
Hallucinations,"20, 727, 787, 880, 10000"
Hallucinations,"20, 660, 690, 787, 880, 10000"
Hallucinations,"100, 570, 1000, 7500"
Hallux Valgus,"70, 240, 650, 5750"
Hamartoma Syndrome Multiple,"60, 260, 680, 9000"
Hamartoma,"70, 220, 730, 2500, 5520"
Hand Foot and Mouth Syndrome,"232, 237, 1214, 1243, 1244, 1271, 5411"
Hand Tremors,470
Hangover,"146, 522, 10000"
Hangover,10
Hansen's Disease (Leprosy),600
Hansen's Disease,"170, 240, 790, 3500, 5820"
Hantavirus Infections,"70, 120, 600, 870, 2250"
Harmony,1
Hartnup Disease,"160, 550, 950, 5750"
Hastoiditis,287
Hay Fever,"20, 727, 787, 880"
Head Cold,"72, 120"
Head Injuries,"72, 160, 522, 660, 690, 787, 880, 3000"
Head Injuries,"72, 522, 727, 787, 880, 3000"
Head Injury Follow-up,"72, 522, 727, 787, 880, 3000"
Head Pressure In,"20, 727, 787, 880, 5000"
Head Top Of,1052
Headache Rapid Relief,160
Headache,"160, 550, 950, 7500"
Headaches,"10, 144, 160, 304, 520, 10000"
Headaches Comp,"4, 10, 20, 73, 95, 125, 144, 146, 160, 304, 520, 522, 600, 625, 650, 727, 787, 880, 3000, 10000"
Headaches Due to Parasites,"20, 73, 95, 125, 727, 3000"
Headaches Due to Toxicity,"20, 146, 522, 727, 787, 880, 3000"
Headaches Parasites,"20, 72, 73, 95, 125, 160, 250, 660, 690, 727, 3000"
Headaches Rapid Relief,160
Headaches Toxicity,"20, 146, 160, 250, 522, 660, 690, 787, 880, 3000"
Headaches Toxicity,"20, 146, 522, 727, 787, 880, 3000"
Headaches Unknown Cause,"4, 10, 600, 625, 650, 3000"
Headaches Urogenital,"160, 250, 333, 523, 555, 768, 786, 3000"
Headaches Vertebral Misalignment,"160, 250, 3000"
Headaches,"10, 304"
Healing,"8, 360, 1026, 1537, 1549, 2029, 3642, 7055"
Healing Acceleration,"20, 26, 33, 39, 45, 140, 200, 300, 330, 450, 783, 900"
Healing and Regeneration,"47, 266, 2720"
Healing and Regeneration,"47, 1800"
Healing General,"9, 8"
Healing Infinite,"1638, 2444, 3127"
Healing Special,"148, 216, 266, 2720, 3000"
Hearing Disorders,"10, 40, 500,930,2250,5290"
Hearing Loss Sudden,"40, 500, 950, 2250"
Heart Angina Pectoris,5000
Heart Animals,"20, 73, 80, 95, 125, 160, 465, 727, 787, 880, 3000"
Heart Blockage,"59, 60, 61"
Heart Bradycardia,5000
Heart Catheterization,"110, 570, 800, 1520"
Heart Defects Congenital,"140, 220, 730, 5250, 7250"
Heart Diseases,"70, 220, 700, 2750, 7250"
Heart Disorder,"727, 787, 880, 5000"
Heart Endocarditis,5000
Heart Failure,"140, 220, 750, 5290, 7250"
Heart Fast Palpitations,"727, 787, 880, 10000"
Heart Function Balance,696
Heart Function Normalize,"20, 73, 80, 95, 125, 160, 250, 465, 660, 690, 696, 787, 880, 3000"
Heart Function Stimulate Normal,696
Heart General,"20, 81, 162, 5000"
Heart Myocarditis,5000
Heart Septal Defects,"140, 220, 650, 5290, 7850"
Heart Stenosis,5000
Heart Tonic Animals,"20, 73, 80, 95, 125, 160, 162, 465, 727, 787, 880, 3000"
Heart Tonic,"20, 73, 80, 95, 125, 160, 162, 465, 727, 787, 880, 3000"
Heart Valve Diseases,"110, 220, 730, 3750, 7050"
Heart,6
Heartworms,"543, 2322"
Heartworms,"200, 535, 799, 1077, 2322"
Heat Generation,6
Heat Stress Disorders,"70, 410, 730, 850, 7500"
Heavy Metal Toxicity,"317, 1902, 9887"
Heel Spurs,"120, 250"
Helicobacter Pylori,"250, 850, 2230"
Heliobacter Pylori,"347, 352, 600, 695, 705, 728, 880, 2167, 2779, 2819, 2950"
"Heliobacter Pylori ,Stomach","600, 695, 705, 728, 880, 2167, 2779, 2819, 2950"
Heliobacter Pylori,"728, 880, 2167, 2950"
Heliobacter Pylori,"695, 705, 2779, 2819"
"Heliobacterium Pylori Ulcer,Stomach",676
Helminthiasis,"60, 490, 730, 1270, 5870"
Helminthosporium,"793, 969"
Hemangioma Cavernous,"30, 370, 970, 2750"
Hemangioma,"150, 240, 700, 830, 2500"
Hematologic Diseases,"70, 250, 570, 870, 2250"
Hematoma Epidural Cranial,"370, 970, 2500"
Hematoma Subdural,"210, 250, 4570"
Hematospermia,"80, 240, 650, 5250"
Hematuria,"10, 40, 260, 680, 2280"
Hemianopsia,"130, 580, 730, 2580, 5780"
Hemiplegia,"110, 490, 780, 2250"
Haemobartonella Felis,"603, 957"
Hemochromatosis,"120, 350, 850"
Hemochromatosis,5000
Hemoglobin Normalize Production,2452
Hemoglobinopathies,"80, 410, 1890"
Hemoglobinuria Paroxysmal,"190, 230, 3950"
Hemophilia,"603, 751, 778, 845"
"Hemophilia ,Blood",603
Hemophilia A,"50, 460, 3800"
Hemophilia B,"60, 230, 970, 7500"
Hemoptysis,"170, 180, 870, 2750"
"Hemorrhage ,Blood","802, 1550"
Hemorrhage,"800, 802, 1550, 10000"
Hemorrhage Postpartum,"40, 550, 780"
Hemorrhagic Fevers Viral,"30, 120, 950, 2500"
Hemorrhoids,"727, 800, 880"
Hemorrhoids,"447, 660, 690, 774, 802, 880, 1550, 4474, 6117"
Hemorrhoids,"727, 802, 880, 1550"
Hemorrhoids,"447, 727, 774, 802, 880, 1550, 4474, 6117"
Hemorrhoids Piles,"20, 447, 727, 800, 880, 1550"
Hemorrhoids,447
"Hemorrhoids,Anus","447, 727, 774, 802, 880, 1550, 4474, 6117"
Hemorrhoids,"100, 570, 2830"
Hemosiderosis,"140, 250, 950, 7500"
Hendra Virus Disease,"70, 330, 1060, 5200"
Hepatitis A,"321, 333, 346, 414, 423, 487, 523, 558, 578, 693, 717, 768, 786, 878, 3220"
"Hepatitis A ,Liver","321, 346, 414, 423, 487, 558, 578, 693, 717, 786, 878, 3220"
Hepatitis A,"321, 3220"
Hepatitis A,"150, 870, 5290"
Hepatitis B,"334, 433, 477, 574, 752, 767, 779, 869, 876"
Hepatitis B Antigen,3600
Hepatitis B,"180, 870, 5290"
Hepatitis C,"166, 200, 224, 317, 329, 528, 633, 727, 728, 787, 870, 880, 929, 930, 931, 932, 933, 1371, 2189, 5290"
Hepatitis General,"224, 317, 1351"
Hepatitis General,"477, 922"
Hepatitis General Secondary,"284, 458, 477, 534, 768, 777, 788, 922, 1041, 9670"
Hepatitis General,"28, 224, 317, 329, 477, 727, 802, 880, 922, 1351, 1550"
Hepatitis New Numbers,"477, 922"
Hepatitis Non A Non B,166
Hepatitis Type A,"321, 3220"
Hepatitis Type B,433
Hepatitis Type C,166
Hepatitis Viral Human,"150, 180, 870, 5290"
Hepatitis,"224, 317, 1351"
Hepatitis,"28, 727, 802, 880, 1550"
Hepatolenticular Degeneration,"160, 550, 950, 7500"
Hepatomegaly,"20, 500, 970, 2250"
Hereditary Sensory and Autonomic Neuropathies,"1000, 5000"
Hereditary Sex Derangement,5000
Hernia Diaphragmatic,"10, 260, 680, 2250"
"Herniated Disc,Stomach","727, 787, 2720, 5000, 10000"
Hernia Esophageal,"40, 300, 620"
Hernia General,"110, 660, 690, 787, 2720, 5000, 10000"
Hernia Hiatal,"10, 300, 620"
Hernia Umbilical,"10, 300, 600, 2500"
Hernia,"140, 220, 730, 5580"
Herniated Disc Reduce Swelling,"15, 324"
Herpes Eczema,"727, 787, 1550, 5000"
Herpes Furunculosis Secondary,"727, 787"
Herpes Furunculosis Skin Disease,"200, 1000, 1550"
Herpes General,"1552, 2347, 2489, 2950"
Herpes General,"141, 165, 304, 383, 450, 464, 629, 900, 1489, 1550, 1577, 1900, 1950"
Herpes General,"304, 464, 1488, 1489, 1550, 1577, 1900, 2950"
Herpes General V,"141, 165, 383, 450, 629"
Herpes Genitalis,"120, 550, 950"
Herpes Labialis,"110, 550, 1230, 5580"
Herpes Mouth Sores,"428, 465, 660, 690, 787, 802, 880, 1500, 1550, 1800, 1850, 2489"
Herpes Progenitalis,"141, 171, 440, 556, 590, 660, 832, 878, 898, 1175, 5310"
Herpes Simplex,3600
Herpes Simplex General Virus,"322, 343, 476, 822, 843, 1043, 1614, 2062"
Herpes Simplex i,2950
Herpes Simplex I,"322, 476, 589, 664, 785, 822, 895, 944, 1043, 1200, 1489, 1614, 2062"
Herpes Simplex II,"556, 832"
Herpes Simplex IU,808
Herpes Simplex,"322, 343, 476, 822, 843, 1043, 1614, 2062"
Herpes Simplex,"120, 550, 950, 5580"
Herpes Simplex,"322, 343, 476, 822, 843, 1043, 1614, 2062"
Herpes Type 2 Comp,"362, 366, 370, 373, 528, 532, 540, 556, 665, 685, 717, 732, 776, 808, 880, 888, 1402, 8778"
Herpes Type 2A,532
Herpes Type 2A,"532, 848"
Herpes Type,"126, 597, 629, 682, 1045, 2145, 8848, 8856"
Herpes Type,"228, 1820, 3640, 7281"
Herpes Type C,"395, 424, 460, 533, 554, 701, 745, 2450"
Herpes Zoster,"580, 600, 787, 802, 880, 914, 1160, 1489, 1500, 1550, 1600, 2170, 2320, 2489, 3343"
Herpes Zoster Oticus,"120, 450, 950, 5780"
Herpes Zoster Secondary,"20, 304, 464, 574, 728, 800, 802, 1550, 1557, 1800, 1865, 2128, 2720, 5000"
Herpes Zoster,"120, 450, 900, 5910"
Herpes Zoster,"574, 1557"
Herpesviridae Infections,"120, 590, 950, 5580"
Herpesviridae Infections,"550, 950"
HHV,"126, 597, 629, 682, 1045, 2145, 8848, 8856"
HHV6,"228, 1820, 7281"
Hiccups,"20, 10000"
Hidradenitis Suppurativa,"150, 9230"
High Blood Pressure Hypertension,"727, 787, 880, 10000"
High Endocrine Production Stimulate,"645, 1342, 1725"
High Fever Acute Pyrexia,"20, 727, 787, 880"
Hip Joint Pain,"338, 528, 2422, 2475, 3255, 4225, 4332, 5754, 7433, 7938, 8967"
Hip Ligaments Irritated,5120
Hip Ligaments Tensions,5403
Hip Pain,"20, 660, 690, 727, 787, 880, 2720, 5000, 10000"
Hirschsprung Disease,"130, 520, 750, 5520, 8220"
Hirsutism,"110, 490, 780, 2520, 7530"
Hirudo Med,128
Histidinemia,"120, 350, 850, 7500"
Histiocytoma Benign Fibrous,"20, 410, 900, 2750, 5870"
Histiocytoma Malignant Fibrous,"80, 410, 1000, 5780, 7250"
Histiocytosis Langerhans Cell,"140, 320, 970, 2500"
Histiocytosis Non Langerhans Cell,"140, 410, 970, 7500"
Histiocytosis,"140, 120, 970, 7500"
Histomonas Meleagridis,3600
"Histoplasma,Lung","424, 616, 749"
Histoplasmosis,"70, 230, 830, 2500"
Histoplasmosis,"424, 616, 749, 1200"
HIV AIDS,"150, 5580"
HIV Infections,"150, 180, 870, 5580"
HIV Related Infections,"150, 180, 870, 5580"
HIV,"450, 683, 714, 830, 3554"
HIV,"683, 714, 3554"
Hives,"95, 125, 146, 148, 444, 522, 660, 690, 727, 787, 880, 1800, 1865, 5000"
HMSN Type II,"190, 2080, 4800"
Hoarseness,"880, 760, 727"
Hodgkin Disease,"10, 20, 120, 440, 552, 880, 950, 1522"
Hodgkin's Disease,"552, 1522"
Holoprosencephaly,"80, 240, 650, 900, 2500"
Homocystinuria,"240, 730, 830, 7500"
Hookworm Infections,"110, 550, 1200, 7500"
"Hookworm,Intestines","440, 2008, 5868, 6436"
"Hordeolum,Eyes","20, 453, 727, 880, 2600, 10000"
Hordeolum,"120, 550, 950, 5870"
Hormodendrum,695
Hormodendrum,"532, 627, 663, 678, 695"
Hormodendrum,695
Hormonal Imbalances Male,537
Horner Syndrome,"70, 500, 970, 9000"
Hot Flashes,"190, 270, 537, 660, 690, 727, 787, 880, 3450, 10000"
Household Insect Mix,"100, 723"
HSAN Type I,"390, 700, 920, 7900"
HSAN Type II,"340, 620, 870, 7810"
HSAN Type IV,"340, 620, 870, 7810"
HSAN Type V,"740, 800, 920, 7630"
Hulda C Zap 2500,2500
Human Hair,646
Huntington's Disease,"150, 230, 750, 3850"
Hutchinson's Melanotic Freckle,"60, 370, 870, 7500, 8000"
Hydatidiform Mole,"80, 250, 750, 800, 2500, 5780"
Hydrocele,"80, 660, 690, 727, 787, 880, 10000"
Hydrocephalus Normal Pressure,"50, 370, 900"
Hydrocephalus,"70, 370, 870, 7500, 8000"
Hydronephrosis,"200, 250, 750, 2530, 3400, 5580"
Hyperacidity Solar Plexus,230
Hyperacidity Stomach,"20, 230, 727, 787, 880, 10000"
Hyperacusis,"40, 240, 570"
Hyperaldosteronism,"80, 260, 780, 2500"
Hyperbilirubinemia Hereditary,"130, 520, 620, 9000"
Hypercalcemia,"110, 490"
Hypercapnia,"120, 350, 930, 7500"
Hypercholesterolemia,"80, 410, 950, 2500, 5500"
Hyperemesis Gravidarum,"190, 230, 850, 2250"
Hyperemia,"460, 950"
Hyperglycemic Hyperosmolar Nonketotic Coma,"170, 180, 840, 7590"
Hyperhidrosis,"60, 120, 850, 7500"
Hyperia,"727, 787, 880, 10000"
Hyperkalemia,"100, 570, 950"
Hyperlipidemia Familial Combined,"70, 230, 830"
Hyperopia,"30, 460, 600, 8850"
"Hyperosmia,Nose","20, 146, 522, 10000"
